text,annotation_64,annotation_60,annotation_61,annotation_63
"I remember a few months ago NYT ran a very self-righteous op-ed by a Georgia restaurant owner who insisted on staying open. I wish NYT would run it again. I don’t know if refreshing our memories on all the short-sightedness that got us here will make this country smarter going forward, but anything seems worth a try at this point.",anti-mitigation,unclear,unclear,anti-mitigation
"As a vaccinated person, I wear a mask not only to protect myself a little bit more but also to help reinforce the idea that it's normal. So few people wear a mask in my community-- I'm concerned that those who need to won't because they don't want to stand out.

Reestablishing the norm of mask wearing willl be especially important this fall at the rural university where I work. I imagine that many students won't have had the vaccine. I anticipate that we'll have many cases of the delta variant, which will disrupt our plans to return to normal.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"@Lily in NY:

Hoping your message applies to fellow teachers, administrators, staff, and volunteers.

Some major school districts in CA, including those that serve large populations of POC families, are good at requiring adults to provide proof of negative TB tests, but refuse even to ask teachers, staff, et al about vaccine status, let alone require vaccination.

These people are paid with public funds and should be required to follow public health guidance.  And since families are required by law to enroll their children in school, they are now faced with the “choice” of breaking the law or sending still-vulnerable children to spend 6-plus hours a day with adults who may not be vaccinated and who may be asymptomatically spreading ever more dangerous variants to children and coworkers and the families they go home to.  

While it appears that, statistically, and so far schools haven’t been sources of many super-spreader incidents, it doesn’t mean it never happens.  And what school employee or volunteer wants the weight of a student’s death or disability, or that of a student’s family, on their conscience?",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"“They could be held liable for any sort of adverse effects that might happen a year or two down the road,”

If there indeed an issue with RNA vaccines, we would all be in big trouble.  However, there is no known conceptual reason which that should be the case, so I did not even hesitate for a split-second.",unclear,pro-mitigation,pro-mitigation,pro-mitigation
"I understand the legal challenges of employers requiring a vaccine that is under Emergency Use Authorization as a condition of employment. However, many of the employed at this point work rather efficiently at home. There should be no problem for the employers to require vaccinations as a condition to return to the office. 
If a company is not willing to require this, it should offer those who are vaccinated to stay home and work from home.
The same logic should (and could) be applied for sports clubs, schools, universities, restaurants, and shops. If you don't get vaccinated, continue getting your groceries through Amazon.",unclear,pro-mitigation,pro-mitigation,pro-mitigation
The mask ship has sailed.,unclear,unclear,anti-mitigation,unclear
"It's sad but tragically not surprising whatsoever how this serves as a staggering example of just how much Americans- of all generations- cannot go without for the greater good. And just how many of those same people lack the capacity for bigger picture thinking.

For me, it's equatable to a huge building that rents stores being engulfed in flames, ala ""The Towering Inferno"" or something- and someone says to the firefighters attempting to put it out, ""Well, you've got to let me in since I rent a store in there. I need to make money!""

Then they go in and are consumed by smoke or burnt to death. And people are surprised this happened. 

Some people never eat out for the majority of their lives because it is, above all else, a luxury more than a necessity. Go without. The facts are not adaptable.",unclear,pro-mitigation,unclear,unclear
"If people choose to endanger themselves that is one thing; when then choose to endanger others it's a different matter. People who do not vaccinate against covid-19 provide a reservoir of the virus that can drive future infections and ensure the virus is always with us. Viral spread from this reservoir also enables viral mutations to occur, leading to new variants. These new viral variants may be more virulent and may not succumb to vaccines developed for older variants. 

In order to protect the population as a whole, steps need to be taken. If we can insist on insurance for all drivers, the wearing of wearing safety belts, fines for texting while driving, designated non-smoking areas, higher premiums for smokers or those frequently involved in accidents, then we can bring similar tools into play for covid-19. 

For example, vaccination resisters could face higher medical insurance premiums, banning from the workplace, or denial of access to stores and public places, enforced by fines. Resisters would still be free to choose to avoid vaccination, but they would not be insulated from the costs of their choice. They could not selfishly force others carry the burden of their choice.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"There is no delicate balance between health and privacy when it comes to virus variants that are much more contagious and deadlier. Those who refuse to wear masks because of no other reason than to be obstinate are essentially playing Russian Roulette with other people’s health and lives without repercussions. When they infect others they do not face criminal charges as they should. They are not held responsible for the loss of wages or medical bills to that person’s household. They are not held responsible for anything even though their refusal to do simple things has caused death and devastation to so many other people’s lives. This is plain and simple fact, not something that is debatable. 
All countries of the world should require every person to be vaccinated in order to work in any business that puts them in contact with other employees and/or customers. If you are not vaccinated you should not be allowed to travel outside of your city, enter any government federal, state or local building, business, school, etc. 
Yes, you have a right to decide not to be vaccinated or not to wear a mask, but everyone else has a right not to become infected by you and risk permanent damage to their lungs, heart or any other internal organ or dying because of your choice. 
So, yes, EVERY business should require employees to be vaccinated. If you don’t want to be vaccinated, that’s your right, but don’t complain about losing your job. ￼",pro-mitigation,pro-mitigation,pro-mitigation,unclear
"Montana implemented a very easy and efficient, federally funded, vaccine roll out, a triumph of “socialized medicine,” despite its red- state status.

Still, vaccinations are slowing. I imagine the cynical might feel more confident getting vaccinated if the companies producing the vaccines were not looking at billion dollar profits.",unclear,pro-mitigation,pro-mitigation,pro-mitigation
"Retired physician and Pfizer vaccinated. I will be masked while indoors a public access building far into the future. MA is about 90%vaccinated but the delta variant and my lack of trust in my fellow beings make me cautious. As in the picture, I wear a medical mask under a three layer cloth mask.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Our love of restaurants is one of the primary reasons why we are so fat. Now we can add Covid-19 to the consequences.,unclear,unclear,unclear,anti-mitigation
Why don’t insurance companies increase premiums for people who refuse the vaccines? Why don’t hospitals/ERs/doctors demand an extra cash payment on unvaccinated people in order to treat them if they choose not to buy health insurance?,unclear,pro-mitigation,pro-mitigation,pro-mitigation
"What could be done is to take a leaf from the anti-smoking campaign and apply it to the vaccination campaign. with the anti smoking campaign, there was the Marlboro campaign with the man having a laryngeal removal surgery  trying to sing the jingle with the artificial voice aid, and pictures of tar infused diseased longs removed. With the vaccination campaign, testimonies from long haulers with their persistent malaise and pictures fatally damaged lungs from victims that undergone double lung transplants, as well as patients on ventilators fighting for their lives be used. Covid-19 is not your seasonal flu!",pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"I don’t think the economics will work for restaurants and bars, in states that allow indoor dining, with restrictions.  Restaurants and bars make money when they pack people in and overturn tables frequently. 

It’s sad, but their business model just does not work in a time of pandemic.  I am sure when NJ eventually allows restaurants to open indoors, (I don’t know if we will allow indoor bars to open before a vaccine), the owners will be happy for a couple of weeks, then they will be pushing for more capacity, which they will not be rightfully given.  

Sadly, we are going to lose a big percentage of our restaurants.  I don’t think it can be helped. I just hope people get out before they throw more good money after bad.   Who knows when we will have an effective vaccine?",unclear,unclear,anti-mitigation,unclear
"It should NOT be left to businesses and industry to require vaccination.
It should be a federal requirement for public safety.
We have to have a driver's license and insurance to drive.
We have to pay federal taxes and sales, and property taxes (and a lot of those).
We have to pay for what ever we want (groceries, gas, cars, etc)
We have to send our children to school of some kind.  And unless those kids are home schooled, most states require those kids get a few vaccines.  
We have to wear a seat belt, follow speed limits and traffic signs (although some of us don't and people are killed).
Don't drink and drive.
We don't allow blind people to drive.  
And the list of things we have to do goes on and on.  One (or two) vaccines during a serious pandemic should be another one.  Exclusions for health reasons only.
We are a country of rules and regulations and these keep us relatively healthy.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"The Times published a survey a couple of months ago where the political divide on this matter was clear: people who identify as Dems way overestimated the likelihood that a person would be hospitalized with Covid whereas those who identify as Repubs actually were closer to the mark (it pains me to say this!).  I""m convinced at least part of the argument in favor of masks here and elsewhere is political ""virtue signaling"".  In other words, people add a lot of other ""reasons"" into their risk assessment.  Example: I keep hearing how masks helped prevent colds and flus during the season but was it mask wearing during one's probably brief foray into a grocery store that prevented these common ailments or was it the fact that people were working from home, not commuting via crowded public transport (BART in the Bay Area), traveling in plans?  That reality seems more likely to me, not the masks.",anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"Owning an ""essential business"" and having had Covid, I mandated the vaccine for all of the employees working at my company.  The logistics are not that complicated.  I had one of the staff schedule all of the appointments during work hours with a local pharmacy that then confirmed back that the employees had actually received the shot.  One employee was reluctant because of the J&J issue but when it was explained that he would be receiving Moderna and wasn't a woman between 18 and 48, he went also.  One person was given a medical exemption until their doctor confirmed their ability to be vaccinated.  They have also been vaccinated.  Three people had side effects that caused them to miss the following day, but everyone is fine.  Beyond the public health issues which are critical, from a business perspective it is better to lose an employee for a couple of hours or a day because of vaccinations than for two weeks (or forever) because of Covid.  The virus is insidious and the effects of it can be long lasting.  The employees have seen the impact of Covid on some of their coworkers and their neighbors in the area and were grateful that the effort was made to protect them.  If it is presented properly, the employees will get the vaccination for their self interest.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Whether or not it's employees forced to work while they're sick versus patrons with the virus is the critical piece missing here- wildly different policy responses to each. But I'd hesitate before we start pinning this on instant gratification for the young or some uniquely American brand of hedonism. Is there data on this from other countries that reopened? What portion of the cases are tied to outdoor versus indoor dining (common sense says it's a little pointless wearing a mask indoors if you're going to be taking it off for a prolonged period to eat- it's not like we magically stop breathing during the course of a meal) 

And there's also a question of the case load- if it's young people who don't need to be hospitalized and aren't dying catching it in droves from restaurants, to an extent we need to say it's their lives and they're entitled to make their own risk calculations, provided they're not going to the elderly and then spreading it to them. Like people here in Boston are freaking out about the college students coming back but my thoughts are the restaurants and other businesses that cater to them need the business and it's probably better they catch it and stay cloistered in a dorm than getting bored in the suburbs they're from and give it to elderly family members. Better they don't catch it period but there's probably more control over different risk groups in a communal setting like a dorm.",unclear,unclear,anti-mitigation,anti-mitigation
"The more unvaccinated people mingle with vaccinated people, the faster the virus will mutate to overcome the vaccine. That's how natural selection works. You put selective pressure on an organism, and it will evolve to overcome that pressure. It's directed evolution 101. Therefore, the unvaccinated aren't just risking themselves, their families and friends. They are actively undermining the only effective weapon we have against this monster that has disrupted our lives and economy and killed over 600,000 of us. How is it responsible or acceptable for the rational people of this country to put up with this? Why does their right to be irrational, irresponsible, selfish and antisocial trump our right to live and be free? It is beyond me. I can't for the life of me understand why we are willing to put up with it.",pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"This is a no brainer.  There is a reason schools require vaccinations.  Those with medical contraindications should be granted waivers.

I'm tired of personal opinion being treated with the same respect as objective reality, especially in a life or death situation.  The people who are immunocompromised cannot get a vaccine, and they are not protected until you get one.  

How many of these vulnerable folks, who cannot protect themselves, are these ill-informed people going to kill?",pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"Employees need to stop working in restaurants where customers are behaving badly, if their employers will do nothing to enforce rules and protect them they need to all walk off, except many have no other resources.  One thing that should be learned from the pandemic is the importance of education and becoming qualified to do more than work at a restaurant.  Shame on the customers who have no regard for other customers or the employees.  Shame on the restaurant owners for doing anything other than take out.",unclear,pro-mitigation,unclear,anti-mitigation
"To think that we might have had a chance to be going about our business - working, eating out, traveling, spending time with our families and friends, taking care of our elderly parents, getting an education, etc - if only our so-called leaders had called it right back in January or even February. They could have stopped incoming flights, closed down certain industries and schools, asked us to all stay home while ""they"" got busy preparing us for the possibility of a pandemic. Instead, they did nothing. They wrung their hands over the stock market. They worried about what would happen to their political careers. And they golfed, all while this pandemic took hold in our country.  Everyone has paid the price all right, and now it's time for them to pay theirs - at the ballot box and through the courts.",unclear,pro-mitigation,unclear,unclear
"Start requiring antibody titers on all employees . It’s easy enough to do a blood draw. You can come to work one of two ways . With adequate titers vaccinated or not. Your body , your choice on how to get those antibodies . Get started .",pro-mitigation,unclear,unclear,pro-mitigation
"I got my covid vaccine and I'm not an anti-vaxxer, but I do think it's a personal choice. What you put into your body should be your business, and not something mandated by the government. You can still be responsible - wear masks, wash your hands, and keep distance from people. In other words, you don't have to be vaccinated to stop the spread of covid. If you are at high risk, then it's probably in your best interest to get the vaccine. Every situation is different, and every person is different - so I don't think the vaccine is always the right choice for everyone.

To be honest with you, I'm a lot more upset about the fact that we have destroyed this planet, and exploited our resources to the point that this is now happening - that we need vaccines to save us. And yes, it is the responsible thing to do to get a vaccine right now, but what about when the next pandemic comes? Are we just going to keep developing vaccines and injecting things into our bodies? What about prevention? What about changing our lives so that this does not happen again.  We need to look at poverty, healthcare, systemic racism, factory farming,  malnutrition, climate change - these are the real reasons people are suffering and dying.",unclear,anti-mitigation,unclear,unclear
"As a vaccinated person I don’t share in the glee of forcing others to get vaccinated. Instead pushing for more equitable and ethical access across the globe, making the latest scientific studies readily available, and ending the partisan blaming and shaming, seem like much more effective priorities than trying to force anything, — especially with no scientific evidence whatsoever to support that the ‘forced’ solution will work. Ultimately this forcing business starts to sound like religion and not health policy based on science.",unclear,unclear,anti-mitigation,unclear
"We are all done and ready to move on from Covid but Covid is not done with us yet. We have a choice, either we play the hand we’re dealt and let common sense and compassion prevail and adapt to evolving circumstances or dig our heels in and decide to ignore the circumstances and pay the price for our actions. 

From the beginning it was thought that this would last every bit of 18 months, which takes us to September-ish. 

We’re all tired. We’re all frustrated. But we’re almost there.",unclear,unclear,pro-mitigation,unclear
"Like many people, I may soon be returning to in-person indoor work. What's better: knowing that all of my co-workers are vaccinated, or hoping that most of them are? I think we've all spent enough time rolling the dice on Covid.",unclear,pro-mitigation,pro-mitigation,pro-mitigation
"Someone who gets the vaccine poses less of a medical and financial risk, much like someone who doesn’t smoke. Charge those who don’t get the vaccine higher premiums, just like you do smokers. It’s simple.",pro-mitigation,unclear,pro-mitigation,unclear
"School districts in California require vaccines for measles and other childhood diseases, with very limited exceptions unrelated to religion.  No vaccine no public school.  Generally private industry has greater freedom to impose this type of requirement.  This should be a no-brainer.",unclear,pro-mitigation,pro-mitigation,anti-mitigation
"The CDC's recent update to their guidelines acknowledges for the first time what has been known for months, that this virus spreads via aerosols. Aerosols accumulate indoors where there is insufficient ventilation. That means offices where some are not vaccinated are unsafe workplaces, unless the airflow engineering is adequate to prevent aerosol spread. Not the case in most offices and workplaces. Any employer who wants to reopen their offices is required to have a safe workplace and the simple and effective means and the least expensive too, is to require all employees vaccinated, except the very tiny percentage who cannot be vaccinated for health reasons or whose religion prohibits vaccination.",pro-mitigation,pro-mitigation,pro-mitigation,unclear
"More half-truths that lack perspective.  The author would have your believe that in spite of a mountain of evidence collected around the world from countries with far better contact tracking programs, America's problem with COVID-19 is due to bar and restaurants re-openings.  Simplistic, childish and inaccurate as her own opening paragraphs show:

""In Louisiana, roughly a quarter of the state’s....""
""In Maryland, 12 percent of new cases last month...""
""....and in Colorado, 9 percent...""

Where are the real 'focal points' and 'clusters'?  Swimming pools?  Money?  Toilet plumes?  Schools?  The answers are known, but they aren't exciting or fear-inducing so they go unmentioned.  In the meantime just stay away from bars, restaurants, water (of all kinds...the virus monsters are very afraid of water in any form), cash, toilets and schools.  That should just about take care of the virus.

Oh...wait....the US average death rate per 100,000 from COVID is about to overtake Sweden's.  What's the NYT going to say then?",unclear,pro-mitigation,anti-mitigation,unclear
"Require them. Period.

All the good and decent people in a work environment should not be put in harms way because the Republicans are too brainwashed to do what everyone knows needs to happen without being forced.",unclear,pro-mitigation,pro-mitigation,pro-mitigation
"Unvaccinated worker(s) at a Kentucky nursing home recently caused an outbreak that infected several fully-vaccinated residents and a few fully-vaccinated staff. While the vaccine caused most of these infections to be asymptomatic or mild, one fully-vaccinated resident died. Perhaps employers who are skittish about being sued should consider that lawsuits may equally come from fully vaccinated employees.",unclear,unclear,anti-mitigation,pro-mitigation
"The vaccine mandate is about an individual not infecting their co-workers, families, and friends. My two Pfizer COVID shots have returned my confidence in my own safety and allowed me to intermingle with my family after a year of isolation. I am very grateful to the scientists who worked diligently and used their hard earned knowledge in a historic effort to save mankind from a horrific, very deadly disease.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Fully vaccinated American here. Many of the extremist comments on this article are baffling and shocking. Requiring proof of vaccination before treating for Covid-19? Wow. Demanding to know whether all employees have been vaccinated before you'll enter any business (or any building, for that matter)? That's ridiculous. You want strangers' personal health information? Good luck getting that. Did you know businesses hire new people all the time? Covid-19 isn't going away. Are you going to demand vaccine information all the time, forever, now? What about booster vaccinations? Are you going to demand proof of boosters for previously vaccinated strangers? The comments praising the Big Brother aspect of this are especially disturbing. I have to wonder if there are professional trolls here, egging people on to have extremist viewpoints.",unclear,anti-mitigation,anti-mitigation,anti-mitigation
"It's maddening that certain scientists and health officials make statements regarding peoples reticence towards mask wearing. The science must be solely concerned with the proper thing to do to curb the virus, no matter how the public might react. Because if there's one thing that matters it's that we must all trust in the objectivity of science and not the subjectivity of politicians, business owners, and numerous others. This is not to say that the scientists and health care officials ought to bury their heads in the sand regarding the public's reactions. On the contrary, I think it was bone headed of the CDC to say that fully vaccinated people could cease wearing a mask. That statement opened a door that is difficult to shut. The CDC should have simply stated that fully vaccinated people were well protected. Then let others, Mayors, Governors, etc, modify any rules re mask wearing.",pro-mitigation,unclear,unclear,anti-mitigation
